"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"ADA",351.434405877764,293.681350408193,445.163783550387,468.173067756257,423.149908502236,364.477689505024,314.971431874129,386.95592628204
"ADAL",503.233659233313,542.50954911768,541.866028666201,486.042268815656,567.26618168778,593.501567751457,551.97963803684,599.848633129252
"ADAM1",231.525751966657,214.654368843807,180.066249525999,163.503189693502,124.185299234352,220.11244329521,221.415561020427,222.265341739857
"ADAM10",1551.15875697772,1613.64552897011,1414.68715484084,1229.40103288666,1416.63230237705,1298.3960723932,1165.29034696666,1123.37723927554
"ADAM11",556.809866299977,554.256803134008,594.385351444618,625.422037078969,596.396066693369,428.64002115383,432.436025279333,484.699118733905
"ADAM12",105.876790155551,137.763251646025,155.890688247046,138.486308210343,128.78475476155,120.304371841512,128.899199842878,129.877940655218
"ADAM15",1065.1460214444,1138.41570740049,1022.04269406887,1081.98012414662,962.819357026826,949.067822305258,888.780773110167,988.143507253098
"ADAM17",1301.77426932217,1359.47766934411,1242.95730575586,1137.37464743075,1281.7149402459,1087.19506404922,1084.20859222679,1076.51406481232
"ADAM19",433.712152444427,459.210838820084,545.200588842608,510.165690245845,489.07543772541,386.756276883082,406.448283375527,377.583291389395
"ADAM21",18.496547677777,16.0189827495378,33.3456017640739,26.8038015890987,55.1934663263786,17.8228699024462,16.6321548184359,18.7452697852891
"ADAM22",725.192231366637,724.058020279109,795.292602073163,714.768042375965,853.965576216469,724.499661534436,705.827070107372,662.779181694151
"ADAM23",328.473174277764,374.844196339185,385.141700375054,390.442043147871,381.754808757452,354.675111058678,335.761625397174,353.482230236881
"ADAM32",17.2209236999993,19.2227792994454,10.837320573324,8.93460052969956,12.2652147391952,6.23800446585615,17.6716644945881,18.7452697852891
